time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.4,0.34835671054567924,0.25864790931200327,0.0,4.46802219121844e-08,-0.00013673055821413927,-0.00017175865006823323,0.12300199063814851,2.631071906817549e-07,2.0241122583923762e-07,0.1030331896962388,0.0,0.0
0.41,0.3388097435305002,0.2517188359895487,0.0,1.427959678519987e-07,-0.00013654458874680183,-0.00017224284197220563,0.14362832191904015,3.749413677058777e-07,2.2795847750474568e-07,0.1052442452662557,0.0,0.0
0.42,0.3331940558013607,0.24448346492342407,0.0,2.5137690652086016e-07,-0.00012114866829129117,-0.00015373341587732626,0.1629505504841715,4.7514878296780126e-07,2.350514464241576e-07,0.1074290717639397,0.0,0.0
0.43,0.33145275135151814,0.23730770940212217,0.0,3.6117600065935904e-07,-8.817173967551078e-05,-0.0001131899524296157,0.17950172501082837,5.494862280694798e-07,2.1795268424036393e-07,0.1095871246847235,0.0,0.0
0.44,0.3331535609360542,0.23050630842679093,0.0,4.603306346124982e-07,-3.655842452370838e-05,-4.920249942047563e-05,0.19210942195708006,5.82761976330359e-07,1.7207142550545123e-07,0.1117178661965763,0.0,0.0
0.45,0.33757173820173664,0.2243123797546095,0.0,5.349779642414364e-07,3.296090353895701e-05,3.741455491147662e-05,0.20001775381664327,5.602678711208989e-07,9.478080746326783e-08,0.113820765274043,0.0,0.0
0.46,0.34378977166236735,0.21885821691903212,0.0,5.702573784878351e-07,0.00011747218816096842,0.0001431162303822959,0.20296924352774565,4.6954186115009014e-07,-1.3763729433619843e-08,0.1158952978305868,0.0,0.0
0.47,0.3507956290491275,0.21416650137772247,0.0,5.516926196054729e-07,0.00021161542003782314,0.0002612880182342838,0.2012470524773949,3.023539507688408e-07,-1.498953984308169e-07,0.1179409468492028,0.0,0.0
0.48,0.35757015261067965,0.21015202740232028,0.0,4.6690196208995284e-07,0.00030752351828774896,0.00038215674907403656,0.1956729970134383,5.675502160810224e-08,-3.0590128408189253e-07,0.1199572025112691,0.0,0.0
0.49,0.36316284722404063,0.20663548114321065,0.0,3.075345901324074e-07,0.00039502308492275827,0.0004930281424602488,0.1875508132583116,-2.6102206059976677e-07,-4.697932962704781e-07,0.1219435623236046,0.0,0.0
0.5,0.3667589533295287,0.20337027966267274,0.0,7.127887988481591e-08,0.0004621449621087111,0.0005789122603418076,0.17854618881575943,-6.350597273189466e-07,-6.254922962053701e-07,0.1238995312437006,0.0,0.0
0.51,0.3677396645870161,0.200081099964816,0.0,-2.3626107608509802e-07,0.0004959709757462096,0.00062357143310657,0.17050483711699432,-1.038925061142773e-06,-7.535157791052786e-07,0.1258246218030961,0.0,0.0
0.52,0.3657343871493876,0.19650999497838145,0.0,-6.000643663249283e-07,0.0004838129916294085,0.0006109875831513663,0.16522227390922212,-1.4357837072432824e-06,-8.322278397653708e-07,0.1277183542288645,0.0,0.0
0.53,0.36066032345729554,0.19246352256595609,0.0,-9.94834924989128e-07,0.0004146824639448948,0.0005271984670301292,0.1641918529984866,-1.7796990557933384e-06,-8.396634773159752e-07,0.129580256563184,0.0,0.0
0.54,0.3527416918909713,0.18785270048978053,0.0,-1.385053661642671e-06,0.0002809651698045581,0.00036239783736520526,0.1683688820366112,-2.0182903923696982e-06,-7.558787687717697e-07,0.1314098647809586,0.0,0.0
0.55,0.34250143452096105,0.18271831263867644,0.0,-1.7261794843048372e-06,8.017013921454384e-05,0.0001131370331415259,0.17799258833199877,-2.0968194378672322e-06,-5.657070599461321e-07,0.1332067229054634,0.0,0.0
0.56,0.33072297983383764,0.1772373706413841,0.0,-1.967174052860791e-06,-0.00018342161071856601,-0.00021558937320690003,0.19250110410190277,-1.9636347470211784e-06,-2.6172409984294647e-07,0.1349703831219831,0.0,0.0
0.57,0.31838465533660126,0.17171010964892658,0.0,-2.054425042526199e-06,-0.0004974186143662028,-0.000608636717610724,0.2105605111986518,-1.5767337723535157e-06,1.5285101330221491e-07,0.1367004058894171,0.0,0.0
0.58,0.3065709694882467,0.1665285929281161,0.0,-1.937007499351113e-06,-0.0008405227847334408,-0.0010396735158703183,0.23021177130441706,-9.110138941324104e-07,6.616583436899767e-07,0.1383963600498225,0.0,0.0
0.59,0.29636484899377974,0.16212865086263575,0.0,-1.5730581150540223e-06,-0.001182509611145668,-0.0014711100007797507,0.24912085661064556,3.440776081675176e-08,1.2334885706494506e-06,0.1400578229358673,0.0,0.0
0.6,0.28872796832062403,0.15892918067020032,0.0,-9.368532989200736e-07,-0.0014851954384070233,-0.0018552591034655883,0.264897896539015,1.2295998781134065e-06,1.8217646815590707e-06,0.1416843804761683,0.0,0.0
0.61,0.2843839245340475,0.15726752687574283,0.0,-2.599405257718166e-08,-0.0017045494938055768,-0.002136931924634474,0.27543283298541815,2.6088745543122997e-06,2.3655907125951593e-06,0.1432756272984862,0.0,0.0
0.62,0.2837260913589916,0.1573439198005697,0.0,1.1320713363244195e-06,-0.0017940235271672266,-0.0022575646765818575,0.2791848319465997,4.068488758133491e-06,2.79267145311304e-06,0.1448311668307528,0.0,0.0
0.63,0.28677118417454756,0.15918771509185492,0.0,2.475088519642497e-06,-0.0017090562485463359,-0.002160830009280844,0.27537005775783735,5.467954011101553e-06,3.0242808472231242e-06,0.1463506113999054,0.0,0.0
0.64,0.29316832586511415,0.16265205860564896,0.0,3.9035722281818205e-06,-0.001412567719515469,-0.0017995080607086796,0.26402003230252474,6.6357767530809805e-06,2.982277067483833e-06,0.1478335823285026,0.0,0.0
0.65,0.3022572905249417,0.16743469492456756,0.0,5.28186420104484e-06,-0.0008810991367663718,-0.0011431921683588068,0.24591915708592857,7.380180602299351e-06,2.5979344856926855e-06,0.1492797100290989,0.0,0.0
0.66,0.3131581711443237,0.17311623592424505,0.0,6.443490658216865e-06,-0.00011108896966606626,-0.0001861969980615462,0.22245611134203952,7.504956512679541e-06,1.822099435392989e-06,0.1506886340963539,0.0,0.0
0.67,0.3248734072896361,0.17920632670171593,0.0,7.20137783596271e-06,0.0008753759210494193,0.0010451560298318334,0.1954289986608757,6.830056727763363e-06,6.358974396156856e-07,0.1520600033968522,0.0,0.0
0.68,0.3363893182847859,0.18519137930561302,0.0,7.363094600747197e-06,0.0020261156897922756,0.0024868545960112665,0.16683349480726534,5.215918778078052e-06,-9.39048799486725e-07,0.1533934761566139,0.0,0.0
0.69,0.34677081415092625,0.19058094838960943,0.0,6.7507784134717975e-06,0.0032565670516092275,0.004034177816784362,0.1386511878329896,2.589819765475908e-06,-2.8321561831794123e-06,0.1546887200462714,0.0,0.0
0.7,0.355244765079113,0.19495064135174758,0.0,5.224788797272062e-06,0.004450485029098086,0.005542402733420021,0.11265188923585359,-1.028120135984986e-06,-4.918582950722399e-06,0.155945412263893,0.0,0.0
0.71,0.36126561641517635,0.19797824391874277,0.0,2.70946226781566e-06,0.005464370778565488,0.0068321668768883195,0.09022709153440633,-5.502265765992651e-06,-7.018532442772817e-06,0.157163239615432,0.0,0.0
0.72,0.3645557385576734,0.1994689588671426,0.0,-7.813267613694661e-07,0.006136147071367792,0.007700157501805218,0.07227323985139951,-1.0565537147675966e-05,-8.902470551649319e-06,0.1583418985927809,0.0,0.0
0.73,0.36511512439497457,0.19936662512531145,0.0,-5.121688765789683e-06,0.00629827757784978,0.007935394356894181,0.05913844148045897,-1.5813798585180893e-05,-1.0303263854244253e-05,0.1594810954494123,0.0,0.0
0.74,0.36319921690045665,0.197749865917271,0.0,-1.00576480186001e-05,0.005795093853258625,0.007340834008488218,0.050637107326715565,-2.0713957437435205e-05,-1.0935747267737892e-05,0.1605805462735868,0.0,0.0
0.75,0.3592679095007195,0.19481424154037807,0.0,-1.520098005614517e-05,0.004503574825834791,0.005759374124214745,0.04612776858839576,-2.4628550912240918e-05,-1.0523541830658602e-05,0.1616399770591093,0.0,0.0
0.76,0.3539123503565449,0.19084324514123088,0.0,-2.0036299606326405e-05,0.0023562527157905302,0.003102619093331798,0.04464151654140834,-2.6858514165463392e-05,-8.832090324479971e-06,0.1626591237736173,0.0,0.0
0.77,0.3477691737958837,0.18617243059658042,0.0,-2.394416630346339e-05,-0.0006356529942691588,-0.0006199535206356521,0.045042065287607326,-2.67042589750981e-05,-5.705911451452767e-06,0.1636377324243837,0.0,0.0
0.78,0.34143425415084694,0.18115215977860752,0.0,-2.624193960787666e-05,-0.004361281601023975,-0.005274432957349397,0.04619319458701765,-2.3543194478490777e-05,-1.1070689408077454e-06,0.1645755591216162,0.0,0.0
0.79,0.3353893425128731,0.1761150565232057,0.0,-2.6242608385746848e-05,-0.008594138075908385,-0.010582007492255664,0.04710661865857038,-1.6919495388327265e-05,4.849088218406613e-06,0.1654723701392409,0.0,0.0
0.8,0.3299532542203766,0.17135334245797545,0.0,-2.3329885693895395e-05,-0.012983998661285003,-0.016108285926335383,0.04704653831772404,-6.6394389648683526e-06,1.1865612594218051e-05,0.1663279419731506,0.0,0.0
0.81,0.32526354044090733,0.16710824907825333,0.0,-1.7045595213456217e-05,-0.017059518536817184,-0.021265953458488432,0.04557834268108166,7.136776732177269e-06,1.944820528945123e-05,0.1671420613969077,0.0,0.0
