time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
0.7,-4.878396027193243e-22,-1.0162174107249541e-05,0.0,1.0792128896400911e-10,0.30882836236332883,-0.02597284114573213,0.35112254107243573,0.0,3.038499819567857e-12,-6.878115111782065e-10,0.0,-4.8938016367570785e-12,0.0,0.3118908245277861,0.0
0.71,-1.1201689139810072e-21,-9.414253460226093e-06,0.0,9.668326839554607e-11,0.30623830618129294,-0.02175581075999604,0.35350034443607925,0.0,2.6675800765727097e-12,-2.4155504876189e-09,0.0,-7.144795807321437e-12,0.0,0.314326479230864,0.0
0.72,-1.797752991074344e-21,-7.420594193921991e-06,0.0,7.169755318744506e-11,0.3052517079943875,-0.013543365823207427,0.3550302150588321,0.0,1.9010263004482684e-12,-4.338560354191815e-09,0.0,-9.206396431046008e-12,0.0,0.3166837971855618,0.0
0.73,-2.457508485589546e-21,-4.068376975851806e-06,0.0,3.205037494620442e-11,0.3060097108513523,-0.0009688205908727696,0.3556407166556161,0.0,7.178161589615161e-13,-6.295735656436989e-09,0.0,-1.079893336377567e-11,0.0,0.3189621908988246,0.0
0.74,-3.021410367136054e-21,6.34658720374011e-07,0.0,-2.178949162450749e-11,0.30853628809416067,0.01602395008646061,0.3553177759453228,0.0,-8.624563621558879e-13,-8.078964544047076e-09,0.0,-1.1619793363428744e-11,0.0,0.3211610925471737,0.0
0.75,-3.401146057069677e-21,6.528736235688323e-06,0.0,-8.765192856907188e-11,0.3127127776201639,0.03711254751646023,0.3541184252191485,0.0,-2.770861623059143e-12,-9.443623753070256e-09,0.0,-1.1370860685471608e-11,0.0,0.3232799541182186,0.0
0.76,-3.505160019859004e-21,1.3278998326913817e-05,0.0,-1.6145003721959726e-10,0.3182628528305042,0.061555838143984215,0.3521792582560498,0.0,-4.883553199802769e-12,-1.0125941989804138e-08,0.0,-9.792818812934053e-12,0.0,0.3253182475472347,0.0
0.77,-3.2479479512128e-21,2.0365719455973962e-05,0.0,-2.3711970535361923e-10,0.3247522732394833,0.0881930699951351,0.3497172737293002,0.0,-7.020786315351797e-12,-9.867146437787306e-09,0.0,-6.704345680256461e-12,0.0,0.3272754648487674,0.0
0.78,-2.5611721795064114e-21,2.7092415961828056e-05,0.0,-3.067624650112619e-10,0.33160699913779973,0.1154918678105315,0.3470211873088564,0.0,-8.951878546543024e-12,-8.443531205561217e-09,0.0,-2.0431637156636787e-12,0.0,0.3291511182432325,0.0
0.79,-1.40585280897276e-21,3.2615754562686285e-05,0.0,-3.610303104971154e-10,0.338151720659201,0.14165057128270253,0.34443210398471197,0.0,-1.04071559974513e-11,-5.700698111798419e-09,0.0,4.095114953809648e-12,0.0,0.3309447402784818,0.0
0.8,2.154302492489901e-22,3.5999785921932574e-05,0.0,-3.8977465722311846e-10,0.3436684293077106,0.16475393182755993,0.3423137118751061,0.0,-1.109743245336062e-11,-1.5892877134965643e-09,0.0,1.1425251946708868e-11,0.0,0.3326558839463013,0.0
0.81,2.2476760479111722e-21,3.6295007320222584e-05,0.0,-3.829582479613947e-10,0.34747127907537473,0.1829721853928435,0.34101392259148916,0.0,-1.0740879615064937e-11,3.80136637807483e-09,0.0,1.9453184720905246e-11,0.0,0.3342841227938155,0.0
0.82,4.5755075821037575e-21,3.264013728194212e-05,0.0,-3.317993018172037e-10,0.3489896289212731,0.19478193019747075,0.34082214802015764,0.0,-9.09628792933046e-12,1.0215953071325665e-08,0.0,2.7474861832341617e-11,0.0,0.3358290510297679,0.0
0.83,7.019785638840003e-21,2.4381395761396503e-05,0.0,-2.300831828173374e-10,0.3478461675172977,0.19917396060843992,0.34192899329363396,0.0,-6.000739717327304e-12,1.7217006845987083e-08,0.0,3.459807772083531e-11,0.0,0.3372902836256534,0.0
0.84,9.340392945694164e-21,1.1200743609689979e-05,0.0,-7.55409070374394e-11,0.3439132583959725,0.19580319843382243,0.3443970977753382,0.0,-1.4086958295976611e-12,2.41846135410944e-08,0.0,3.979105222274822e-11,0.0,0.3386674564116746,0.0
0.85,1.124653460278876e-20,-6.758751936077807e-06,0.0,1.2884061870770952e-10,0.3373320768744756,0.1850396745783796,0.3481511204735375,0.0,4.5714642308860084e-12,3.0336291787319346e-08,0.0,4.195953552035094e-11,0.0,0.3399602261675013,0.0
0.86,1.2415427396223726e-20,-2.8785113980737178e-05,0.0,3.7374039466821366e-10,0.32848829916705785,0.16790395567344651,0.3529901214799974,0.0,1.1648188283800124e-11,3.477025468172992e-08,0.0,4.005153012439934e-11,0.0,0.3411682707078079,0.0
0.87,1.2519553356269464e-20,-5.35238933202416e-05,0.0,6.42839098659678e-10,0.31795122286258715,0.14590530503875498,0.35861881361618064,0.0,1.9329985543429122e-11,3.653352031550648e-08,0.0,3.318541191548428e-11,0.0,0.3422912889625686,0.0
0.88,1.1261749200747306e-20,-7.895619726091651e-05,0.0,9.127536091989799e-10,0.30639234686457184,0.12082520344215777,0.3646894295368858,0.0,2.6926359756996705e-11,3.471397509350155e-08,0.0,2.0793503227463617e-11,0.0,0.3433290010520907,0.0
0.89,8.416338033351298e-21,-0.00010244458738524524,0.0,1.153738154358427e-09,0.29450079143785246,0.09449245446248389,0.3708452462844381,0.0,3.3571085259345814e-11,2.8552594310435733e-08,0.0,2.769303907579659e-12,0.0,0.344281148356766,0.0
0.9,3.873357777236884e-21,-0.00012085995544170981,0.0,1.331279881165874e-09,0.282909054514337,0.06858576901300176,0.37675881029189373,0.0,3.827123501761085e-11,1.756876860676449e-08,0.0,-2.03969833396683e-11,0.0,0.3451474935815249,0.0
0.91,-2.3181930406769784e-21,-0.00013079701313285699,0.0,1.4086516247221101e-09,0.2721374471997889,0.04448601862464904,0.38216056181799996,0.0,3.9983425298827184e-11,1.6883385766131361e-09,0.0,-4.751281852846743e-11,0.0,0.3459278208149747,0.0
0.92,-9.91315666866197e-21,-0.00012887824242306973,0.0,1.3503952318822828e-09,0.2625609955025829,0.023188230559265024,0.38685590532776193,0.0,3.7716112996562107e-11,-1.863914984107436e-08,0.0,-7.662732558605664e-11,0.0,0.3466219355832094,0.0
0.93,-1.844481632053806e-20,-0.0001121362916784917,0.0,1.1265983416417377e-09,0.2543989812626478,0.00527378620225325,0.3907306337660519,0.0,3.065357720162005e-11,-4.234987763447165e-08,0.0,-1.0504445970398406e-10,0.0,0.347229664898277,0.0
0.94,-2.721727975059347e-20,-7.845340847236133e-05,0.0,7.177026647320951e-10,0.24772461738612284,-0.009063837737858214,0.39374599322122816,0.0,1.829363757717126e-11,-6.771908550789172e-08,0.0,-1.294224315947191e-10,0.0,0.3477508573012912,0.0
0.95,-3.532126181078271e-20,-2.7024426020966094e-05,0.0,1.194525352920509e-10,0.24249055577781403,-0.019951224228267974,0.3959255987498302,0.0,5.875053538423872e-13,-9.237526344515584e-08,0.0,-1.4597148785237472e-10,0.0,0.3481853829001785,0.0
0.96,-4.1677790225377606e-20,4.1201774805166194e-05,0.0,-6.525280041851771e-10,0.23856491901311663,-0.02773918538391507,0.3973369296885448,0.0,-2.1933186597540087e-11,-1.1338994547937983e-07,0.0,-1.507544729828115e-10,0.0,0.3485331334020501,0.0
0.97,-4.511247245958671e-20,0.00012315710634407367,0.0,-1.5591373493273122e-09,0.23577221401924991,-0.032893949946125954,0.39807030301045554,0.0,-4.8059715848535014e-11,-1.2745342076921853e-07,0.0,-1.4008437542197264e-10,0.0,0.3487940221401905,0.0
0.98,-4.44602763754565e-20,0.00021342641685912725,0.0,-2.5358397884467193e-09,0.2339337032919883,-0.03588979476865612,0.39821811060454715,0.0,-7.585884033171347e-11,-1.3113989983042237e-07,0.0,-1.1100073805122324e-10,0.0,0.3489679840956566,0.0
0.99,-3.869737718691351e-20,0.00030421905058917206,0.0,-3.4930077214568974e-09,0.23290245329049233,-0.037115833528336896,0.39785677445304324,0.0,-1.0269307867802725e-10,-1.2125669312539114e-07,0.0,-6.179319835186853e-11,0.0,0.349054975913482,0.0
1.0,-2.70926937328502e-20,0.0003855964598384338,0.0,-4.3191412520720775e-09,0.23258923688988617,-0.036807130309282184,0.39703338133953486,0.0,-1.2532461159779867e-10,-9.526117264224067e-08,0.0,7.473321042552677e-12,0.0,0.349054975913482,0.0
1.01,-9.367572538025448e-21,0.00044599926433965117,0.0,-4.887379531218357e-09,0.23297663724989873,-0.03500719296453751,0.39575835753530697,0.0,-1.4011369945505267e-10,-5.171740893419401e-08,0.0,9.448963280989662e-11,0.0,0.3489679840956566,0.0
1.02,1.4151922195167377e-20,0.0004730955432753364,0.0,-5.065463944476245e-09,0.23411999897113195,-0.03156544783078517,0.39400487783928595,0.0,-1.4331494087609276e-10,9.247567802845166e-09,0.0,1.9435665779748288e-10,0.0,0.3487940221401905,0.0
