time,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
4.25,-2.7795253439218614e-05,0.0,3.155438167893048e-06,0.607258642225733,-1.4993336400760528e-09,0.31358379582060053,0.0,-1.5167067270302822e-06,-5.119929243709951e-05,0.0,-9.625472206557815e-06,0.0,0.1342178562887749,0.0
4.26,-8.81956984137961e-06,0.0,3.4590258001663664e-06,0.6061523463544017,-9.952616471377595e-10,0.28112253248273295,0.0,-1.3774910879935503e-06,-1.585219792663066e-05,0.0,-8.369442175069938e-06,0.0,0.1392879409699733,0.0
4.27,6.902793100750376e-06,0.0,3.395604777680944e-06,0.6045786271415419,-5.106778339550295e-10,0.2523488651192138,0.0,-1.1471346260231878e-06,1.3388269474569726e-05,0.0,-6.6480262791320404e-06,0.0,0.1443233121761542,0.0
4.28,1.8690471481098486e-05,0.0,3.048394924685898e-06,0.6026413753990124,-8.387908665286343e-11,0.22860512293443977,0.0,-8.650796852072551e-07,3.526117152396528e-05,0.0,-4.709849325626255e-06,0.0,0.1493227149872479,0.0
4.29,2.635007674293381e-05,0.0,2.50783371999865e-06,0.6004311026808113,2.5999540413802304e-10,0.21070260782742922,0.0,-5.66951547713866e-07,4.941489090008816e-05,0.0,-2.7700599873831013e-06,0.0,0.1542849034472631,0.0
4.3,3.0090048205801298e-05,0.0,1.8621417045612013e-06,0.5980140746409085,5.083818466431323e-10,0.19892830827246907,0.0,-2.8224737179495537e-07,5.62462410654265e-05,0.0,-9.985455190913028e-07,0.0,0.1592086408748047,0.0
4.31,3.0417351708623055e-05,0.0,1.1900747303064223e-06,0.5954259413711327,6.597319512912592e-10,0.19309941166332023,0.0,-3.3050328503830483e-08,5.6707925227392034e-05,0.0,4.853923066798937e-07,0.0,0.1640927001712813,0.0
4.32,2.8029721596029053e-05,0.0,5.560356993762439e-07,0.5926713449884388,7.213187497749145e-10,0.19265173033203245,0.0,1.6633533181390416e-07,5.21079289051133e-05,0.0,1.6128015458140379e-06,0.0,0.1689358641267233,0.0
4.33,2.371385802082038e-05,0.0,7.475208519493224e-09,0.5897289539421154,7.067343535208974e-10,0.196747335708073,0.0,3.0899111297031756e-07,4.39201423097594e-05,0.0,2.360482205849454e-06,0.0,0.1737369257231377,0.0
4.34,1.8257279769680687e-05,0.0,-4.256750600856703e-07,0.586559922963474,6.333638408456834e-10,0.2043876478446444,0.0,3.9442775815041456e-07,3.3620438825335526e-05,0.0,2.743352137430424e-06,0.0,0.1784946884353219,0.0
4.35,1.2378720959473818e-05,0.0,-7.299162302536659e-07,0.5831175089044087,5.200614402185801e-10,0.2145204175158288,0.0,4.272682617874558e-07,2.2557193661448875e-05,0.0,2.8050879014690874e-06,0.0,0.1832079665290631,0.0
4.36,6.679313709407693e-06,0.0,-9.058878134518871e-07,0.5793560869382549,3.8518962838399596e-10,0.22613193126998335,0.0,4.157619293763838e-07,1.1860307624490197e-05,0.0,2.6082253759315335e-06,0.0,0.1878755853566478,0.0
4.37,1.6145129775474543e-06,0.0,-9.653212294031232e-07,0.5752384945232647,2.451160168229992e-10,0.23831889642141443,0.0,3.702952893089444e-07,2.388567159649311e-06,0.0,2.2247014608741027e-06,0.0,0.192496381649609,0.0
4.38,-2.515084001551403e-06,0.0,-9.276668963322106e-07,0.5707412029271296,1.1320275541186932e-10,0.2503374585883198,0.0,3.0203086907319316e-07,-5.288151058389837e-06,0.0,1.7275719631391972e-06,0.0,0.1970692038086372,0.0
